		// ICEBREAKER //----------------------------------------------------------------------------------------------
			"npc_dota_hero_riki"											"ICEBREAKER"
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_41_Description"	"Freezes the attacker for 0.5 seconds."
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_42_Description"	"+4 Layers."

      //SK4
				"DOTA_Tooltip_ability_icebreaker_4__shivas"										"Deep Freeze"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_Description"				"Emits a Freezing wave that freezes enemies. Reduces movespeed during the Freezing wave."
				"DOTA_Tooltip_ability_icebreaker_4__shivas_hypo_stack"        "STACK:"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_slow"					    "%SLOW:"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_blast_speed"				"WAVE SPEED:"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_blast_radius"			"RADIUS:"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank"							"RANK LEVEL:"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_special_cooldown"	    "<font color='#d2b579'>CD REDUCTION PER FROST BREAK:</font>"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_special_heal"	        "<font color='#d2b579'>HEAL AMOUNT:</font>"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_special_fear_duration" "<font color='#d2b579'>FEAR DURATION:</font>"

				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_11_Description"	"-50% Slow."
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_12_Description"	"+250 Wave speed."
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_21_Description"	"-33% Manacost."
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_22_Description"	"-5 Cooldown for each Frost Break on enemy heroes."
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_31_Description"	"+3 Frozen duration. Applies Break on frozen targets."
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_32_Description"	"Wave heals allies by 250 amount."
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_41_Description"	"+5 Stack."
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_42_Description"	"Wave Fears enemies for 5 seconds."

      //SK5
				"DOTA_Tooltip_ability_icebreaker_5__blink"							    "Blink ' n ' Break"
				"DOTA_Tooltip_ability_icebreaker_5__blink_Description"	    "Blinks on an unit. If the unit is a frozen enemy, then performs a frost break that deals magical damage to the target and don't consumes a charge. <br>Increases Icebreaker's <font color='#00a000'>AGI</font> whenever the frost break kills a hero target."
				"DOTA_Tooltip_ability_icebreaker_5__blink_lore"				      "<font color='#8FBC8F'>The hypothermia debuff slows the target's movespeed and base attack speed. Upon reaching the max amount of hypothermia stack, the enemy is frozen.</font>"
				"DOTA_Tooltip_ability_icebreaker_5__blink_damage"				    "BREAK DAMAGE:"
				"DOTA_Tooltip_ability_icebreaker_5__blink_cast_range"				"CAST RANGE:"
				"DOTA_Tooltip_ability_icebreaker_5__blink_hypo_ms"			    "%MOVESPEED SLOW PER STACK:"
				"DOTA_Tooltip_ability_icebreaker_5__blink_hypo_as"				  "BASE ASPD SLOW PER STACK:"
				"DOTA_Tooltip_ability_icebreaker_5__blink_max_hypo_stack"	  "MAX HYPOTHERMIA STACK:"
				"DOTA_Tooltip_ability_icebreaker_5__blink_hypo_duration"		"HYPOTHERMIA INIT DURATION:"
				"DOTA_Tooltip_ability_icebreaker_5__blink_hypo_increment"   "BONUS DURATION PER STACK:"
				"DOTA_Tooltip_ability_icebreaker_5__blink_frozen_duration"  "FROZEN DURATION:"
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank"					    "RANK LEVEL:"
				"DOTA_Tooltip_ability_icebreaker_5__blink_special_spread_radius"		"<font color='#d2b579'>SPREAD RADIUS:</font>"
				"DOTA_Tooltip_ability_icebreaker_5__blink_special_spread_stack"		  "<font color='#d2b579'>SPREAD STACK:</font>"
				"DOTA_Tooltip_ability_icebreaker_5__blink_special_hypo_damage"	    "<font color='#d2b579'>HYPOTHERMIA DPS:</font>"
				"DOTA_Tooltip_ability_icebreaker_5__blink_special_break_heal"	      "%<font color='#d2b579'>BREAK SPELL LIFESTEAL:</font>"

				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_11_Description"	"Whenever you perform a frost break, inflicts hypothermia to the target by 1 stack."
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_12_Description"	"Spreads hypothermia to enemies surrounding the target on frost break."
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_21_Description"	"+2 Charges."
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_22_Description"	"Allows you to blink while rooted / silenced."
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_31_Description"	"+2% Movespeed slow per stack. +0.05 Base attack speed slow per stack."
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_32_Description"	"Hypothermia deal 30 magical DPS."
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_41_Description"	"+75 Break damage."
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_42_Description"	"+50% Break spell lifesteal."

      //ULT
				"DOTA_Tooltip_ability_icebreaker_u__zero"							    "Absolute Zero"
				"DOTA_Tooltip_ability_icebreaker_u__zero_Description"	    "Summon a crystal shard that applies a minimal amount of hypothermia on nearby enemies and gives you bonus <font color='#00a0a0'>RES</font>."
				"DOTA_Tooltip_ability_icebreaker_u__zero_hits"					  "HITS TO DESTROY:"
				"DOTA_Tooltip_ability_icebreaker_u__zero_ms_limit"				"SHARD MOVESPEED:"
				"DOTA_Tooltip_ability_icebreaker_u__zero_radius_day"			"RADIUS (DAY):"
				"DOTA_Tooltip_ability_icebreaker_u__zero_radius_night"		"RADIUS (NIGHT):"
				"DOTA_Tooltip_ability_icebreaker_u__zero_res"					    "BONUS <font color='#00a0a0'>RES</font>:"
				"DOTA_Tooltip_ability_icebreaker_u__zero_hypo_min_stack"  "MIN HYPOTHERMIA STACK:"
				"DOTA_Tooltip_ability_icebreaker_u__zero_duration"				"SHARD LIFETIME:"
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank"				    "RANK LEVEL:"
				"DOTA_Tooltip_ability_icebreaker_u__zero_special_meteor_damage"	"<font color='#d2b579'>METEOR DAMAGE:</font>"
				"DOTA_Tooltip_ability_icebreaker_u__zero_special_radius"		    "%<font color='#d2b579'>BONUS RADIUS:</font>"

				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_11_Description"	"+75 Shard movespeed."
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_12_Description"	"+5 Hits to Destroy."
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_21_Description"	"-50 Cooldown."
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_22_Description"	"+1 Minimal hypothermia stack."
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_31_Description"	"Summons a continuos random icy explosions dealing 50 magical damage each."
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_32_Description"	"+25% radius. Adds fly movement and vision to shard."
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_41_Description"	"Gives you magic immunity."
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_42_Description"	"Gives bonus <font color='#00a0a0'>RES</font> to allied heroes."

			//RANKS
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_11"			"PATH A ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_12"			"PATH B ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_21"			"PATH A ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_22"			"PATH B ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_31"			"PATH A ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_32"			"PATH B ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_41"			"PATH A ― RANK 4"
				"DOTA_Tooltip_ability_icebreaker_1__frost_rank_42"			"PATH B ― RANK 4"

				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_11"				"PATH A ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_12"				"PATH B ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_21"				"PATH A ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_22"				"PATH B ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_31"				"PATH A ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_32"				"PATH B ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_41"				"PATH A ― RANK 4"
				"DOTA_Tooltip_ability_icebreaker_2__wave_rank_42"				"PATH B ― RANK 4"

        "DOTA_Tooltip_ability_icebreaker_3__skin_rank_11"				"PATH A ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_12"				"PATH B ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_21"				"PATH A ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_22"				"PATH B ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_31"				"PATH A ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_32"				"PATH B ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_41"				"PATH A ― RANK 4"
				"DOTA_Tooltip_ability_icebreaker_3__skin_rank_42"				"PATH B ― RANK 4"

        "DOTA_Tooltip_ability_icebreaker_4__shivas_rank_11"			"PATH A ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_12"			"PATH B ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_21"			"PATH A ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_22"			"PATH B ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_31"			"PATH A ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_32"			"PATH B ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_41"			"PATH A ― RANK 4"
				"DOTA_Tooltip_ability_icebreaker_4__shivas_rank_42"			"PATH B ― RANK 4"

        "DOTA_Tooltip_ability_icebreaker_5__blink_rank_11"			"PATH A ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_12"			"PATH B ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_21"			"PATH A ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_22"			"PATH B ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_31"			"PATH A ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_32"			"PATH B ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_41"			"PATH A ― RANK 4"
				"DOTA_Tooltip_ability_icebreaker_5__blink_rank_42"			"PATH B ― RANK 4"

        "DOTA_Tooltip_ability_icebreaker_u__zero_rank_11"				"PATH A ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_12"				"PATH B ― RANK 1"
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_21"				"PATH A ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_22"				"PATH B ― RANK 2"
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_31"				"PATH A ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_32"				"PATH B ― RANK 3"
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_41"				"PATH A ― RANK 4"
				"DOTA_Tooltip_ability_icebreaker_u__zero_rank_42"				"PATH B ― RANK 4"

			//MODIFIERS
				"DOTA_Tooltip_icebreaker__modifier_hypo"							    "HYPOTHERMIA"
				"DOTA_Tooltip_icebreaker__modifier_hypo_Description"	    "Losing movement speed and base attack speed."
				"DOTA_Tooltip_icebreaker__modifier_frozen"						    "FROZEN"

				"DOTA_Tooltip_icebreaker_1_modifier_hits"						      "REMAINING HITS"

				"DOTA_Tooltip_icebreaker_2_modifier_refresh"				      "<font color='#dc143c'>Freezing Gust</font> RECHARGE COUNT"

				"DOTA_Tooltip_icebreaker_3_modifier_skin"						      "ICE ARMOR"

				"DOTA_Tooltip_icebreaker_5_modifier_passive"						  "BONUS <font color='#00a000'>AGI</font>"
				"DOTA_Tooltip_icebreaker_5_modifier_passive_Description"  "Increases <font color='#00a000'>AGI</font> by Frost Break Kill [only heroes]."
				
				"DOTA_Tooltip_icebreaker_u_modifier_aura"							    "CRYSTAL SHARD"
				"DOTA_Tooltip_icebreaker_u_modifier_aura_effect"				  "CRYSTAL SHARD AURA EFFECT"
